og_id,consensus_product,total_member_count,total_organism_count,proc_strains,proc_members,proc_hypo_members,frac_hypo
cyanorak:CK_00000539,uncharacterized conserved membrane protein (DUF2839),21,21,17,17,0,0.0
cyanorak:CK_00000538,recombinase A,21,21,17,17,0,0.0
cyanorak:CK_00000537,haloacid dehalogenase-like hydrolase family protein,21,21,17,17,0,0.0
cyanorak:CK_00000536,light dependent period protein,21,21,17,17,0,0.0
cyanorak:CK_00000535,NADH dehydrogenase I subunit NdhN,21,21,17,17,0,0.0
cyanorak:CK_00000534,50S ribosomal protein L3,21,21,17,17,0,0.0
cyanorak:CK_00000533,50S ribosomal protein L4,21,21,17,17,0,0.0
cyanorak:CK_00000532,50S ribosomal protein L23,21,21,17,17,0,0.0
cyanorak:CK_00000531,50S ribosomal protein L2,21,21,17,17,0,0.0
cyanorak:CK_00000530,30S ribosomal protein S19,21,21,17,17,0,0.0
cyanorak:CK_00000529,50S ribosomal protein L22,21,21,17,17,0,0.0
cyanorak:CK_00000528,30S ribosomal protein S3,21,21,17,17,0,0.0
cyanorak:CK_00000527,50S ribosomal protein L16,21,21,17,17,0,0.0
cyanorak:CK_00001205,50S ribosomal protein L29,21,21,17,17,0,0.0
cyanorak:CK_00000526,30S ribosomal protein S17,21,21,17,17,0,0.0
cyanorak:CK_00000525,50S ribosomal protein L14,21,21,17,17,0,0.0
cyanorak:CK_00000524,50S ribosomal protein L24,21,21,17,17,0,0.0
cyanorak:CK_00000523,50S ribosomal protein L5,21,21,17,17,0,0.0
cyanorak:CK_00000522,30S ribosomal protein S8,21,21,17,17,0,0.0
cyanorak:CK_00000521,50S ribosomal protein L6,21,21,17,17,0,0.0
cyanorak:CK_00000520,50S ribosomal protein L18,21,21,17,17,0,0.0
cyanorak:CK_00000519,30S ribosomal protein S5,21,21,17,17,0,0.0
cyanorak:CK_00000135,50S ribosomal protein L15,22,21,17,17,0,0.0
cyanorak:CK_00000518,preprotein translocase SecY subunit,21,21,17,17,0,0.0
cyanorak:CK_00000517,adenylate kinase,21,21,17,17,0,0.0
cyanorak:CK_00000515,30S ribosomal protein S13,21,21,17,17,0,0.0
cyanorak:CK_00000514,30S ribosomal protein S11,21,21,17,17,0,0.0
cyanorak:CK_00000513,"DNA-directed RNA polymerase, alpha subunit",21,21,17,17,0,0.0
cyanorak:CK_00000512,50S ribosomal protein L17,21,21,17,17,0,0.0
cyanorak:CK_00000511,tRNA pseudouridine(38-40) synthase,21,21,17,17,0,0.0
cyanorak:CK_00000510,50S ribosomal protein L13,21,21,17,17,0,0.0
cyanorak:CK_00000509,30S ribosomal protein S9,21,21,17,17,0,0.0
cyanorak:CK_00000508,50S ribosomal protein L31,21,21,17,17,0,0.0
cyanorak:CK_00000507,peptide chain release factor 1,21,21,17,17,0,0.0
cyanorak:CK_00000506,HNH endonuclease family protein,21,21,17,17,0,0.0
cyanorak:CK_00000505,alanine racemase,21,21,17,17,0,0.0
cyanorak:CK_00001110,putative imidazoleglycerol-phosphate dehydratase,21,21,17,17,0,0.0
cyanorak:CK_00000500,bifunctional cobalt-precorrin-5A hydrolase / precorrin-3B C17-methyltransferase,21,21,17,17,0,0.0
