organism_name,locus_tag,gene_name,product,function_description,kegg_ko_id,kegg_ko_name,tcdb_family,brite_leaf,sources,gene_category,in_brite,in_kegg,in_tcdb,in_annotation
Alteromonas macleodii HOT1A3,ACZ81_02820,ptsP,phosphoenolpyruvate--protein phosphotransferase,Belongs to the PEP-utilizing enzyme family,K08483 ; K08484,"ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9] ; ptsP; phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]",The Phosphotransferase System Enzyme I (EI) Family,Enzyme I [TC:8.A.7],brite|kegg|tcdb,Signal transduction,True,True,True,False
Alteromonas macleodii HOT1A3,ACZ81_02825,,sulfite exporter TauE/SafE family protein,membrane transporter protein,K07090,K07090; uncharacterized protein,,,annotation,Unknown,False,False,False,True
Alteromonas macleodii HOT1A3,ACZ81_02855,ampG,AmpG family muropeptide MFS transporter,COG0477 Permeases of the major facilitator superfamily,K08218,"ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG",2.A.1.25,Peptide-acetyl-CoA transporter (PAT) [TC:2.A.1.25],brite|kegg|tcdb|annotation,Carbohydrate metabolism,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_02940,,ion transporter,COG1226 Kef-type K transport systems,K08714,VGSC; voltage-gated sodium channel,1.A.1.14,Pores ion channels [TC:1],brite|kegg|tcdb|annotation,Inorganic ion transport,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_02945,tolC,outer membrane channel protein TolC,COG1538 Outer membrane protein,K12340,"tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein",The Outer Membrane Factor (OMF) Family ; 2.A.6.2,Pores ion channels [TC:1],brite|tcdb|annotation,Cell wall and membrane,True,False,True,True
Alteromonas macleodii HOT1A3,ACZ81_02990,,Hsp70 family protein,Heat shock 70 kDa protein,K04043,"dnaK, HSPA9; molecular chaperone DnaK",1.A.33.1,,tcdb,Post-translational modification,False,False,True,False
Alteromonas macleodii HOT1A3,ACZ81_03055,,TonB-dependent receptor,"COG1629 Outer membrane receptor proteins, mostly Fe transport",K02014,TC.FEV.OM; iron complex outermembrane recepter protein,The Outer Membrane Receptor (OMR) Family,Pores ion channels [TC:1],brite|tcdb|annotation,Coenzyme metabolism,True,False,True,True
Alteromonas macleodii HOT1A3,ACZ81_03115,,SulP family inorganic anion transporter,COG0659 Sulfate permease and related transporters (MFS superfamily),K03321,"TC.SULP; sulfate permease, SulP family",2.A.53.3,Electrochemical potential-driven transporters [TC:2],brite|kegg|tcdb|annotation,Inorganic ion transport,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_03160,nrtC,CmpA/NrtA family ABC transporter substrate-binding protein,"COG0715 ABC-type nitrate sulfonate bicarbonate transport systems, periplasmic components",K15576,"nrtA, nasF, cynA; nitrate/nitrite transport system substrate-binding protein",3.A.1.16.1 ; 3.A.1.16.2,Nitrate/nitrite transporter,brite|kegg|tcdb|annotation,Inorganic ion transport,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_03165,nrtB,ABC transporter permease,"ABC-type nitrate sulfonate bicarbonate transport system, permease component",K15577,"nrtB, nasE, cynB; nitrate/nitrite transport system permease protein",3.A.1.16.1 ; 3.A.1.16.2,Nitrate/nitrite transporter,brite|kegg|tcdb|annotation,Inorganic ion transport,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_03170,nasD,ABC transporter ATP-binding protein,"COG1116 ABC-type nitrate sulfonate bicarbonate transport system, ATPase component",K15578,"nrtC, nasD; nitrate/nitrite transport system ATP-binding protein [EC:7.3.2.4]",3.A.1.16.1,Nitrate/nitrite transporter,brite|kegg|tcdb|annotation,Inorganic ion transport,True,True,True,True
Alteromonas macleodii HOT1A3,ACZ81_03190,btuB,TonB-dependent receptor plug domain-containing protein,Outer membrane cobalamin receptor protein,K16092,btuB; vitamin B12 transporter,1.B.14.3,Pores ion channels [TC:1],brite|kegg|tcdb|annotation,Coenzyme metabolism,True,True,True,True
