cluster,direction,timepoint,term_id,term_name,count,bg_count,gene_ratio,fold_enrichment,pvalue,p_adjust,signed_score
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:H,Coenzyme transport and metabolism,13,146,13/346,1.0157375880909019,0.5202569794294134,0.9999913759328632,3.7454009193728108e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:I,Lipid transport and metabolism,9,133,9/346,0.7719370681037855,0.8379923783679919,0.9999913759328632,3.7454009193728108e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:K,Transcription,23,250,23/346,1.0494913294797688,0.4355245037800283,0.9999913759328632,3.7454009193728108e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:L,"Replication, recombination and repair",7,185,7/346,0.4316356819246993,0.9978800380468601,0.9999913759328632,3.7454009193728108e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:M,Cell wall/membrane/envelope biogenesis,17,259,17/346,0.7487557747673355,0.9254321668969644,0.9999913759328632,3.7454009193728108e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:N,Cell motility,1,125,1/346,0.09126011560693642,0.9999913759328632,0.9999913759328632,3.7454009193728108e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:O,"Post-translational modification, protein turnover, chaperones",10,155,10/346,0.7359686742494873,0.8857080407930578,0.9999913759328632,3.7454009193728108e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism",4,67,4/346,0.6810456388577345,0.8517116741110676,0.9999913759328632,3.7454009193728108e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:T,Signal transduction mechanisms,14,290,14/346,0.5507075941797888,0.9970872820473674,0.9999913759328632,3.7454009193728108e-06
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|up,up,day 60,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport",10,123,10/346,0.9274401992574839,0.6478531126147058,0.9999913759328632,3.7454009193728108e-06
