locus_tag,gene_name,product,timepoint,log2fc,padj,expression_status,experiment_id
ACZ81_05170,fliF,flagellar basal-body MS-ring/collar protein FliF,days 60+89,-0.8644486525056465,0.2047702539865702,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05000,flgB,flagellar basal body rod protein FlgB,day 31,0.8566265180436564,0.3194814019377012,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01420,cheY1,response regulator,day 89,-0.8531205319507342,0.0808969639309857,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01490,cheD,chemoreceptor glutamine deamidase CheD,day 18,-0.84306123745346,0.0549798436996231,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05215,fliO,flagellar biosynthetic protein FliO,day 18,0.8222251859264834,0.2199909194129856,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04995,cheR,CheR family methyltransferase,days 60+89,-0.8168373092878546,2.2129977094843296e-11,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01490,cheD,chemoreceptor glutamine deamidase CheD,day 31,-0.80940928896702,0.0563592732581188,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05175,fliG,flagellar motor switch protein FliG,day 89,-0.8080839713996807,0.086733640644414,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05175,fliG,flagellar motor switch protein FliG,days 60+89,-0.8042526415651967,0.0356907632849923,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05280,cheA,chemotaxis protein CheA,days 60+89,-0.8018647787548931,0.0081127109873682,not_significant,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
