cluster,direction,timepoint,term_id,term_name,count,bg_count,gene_ratio,fold_enrichment,pvalue,p_adjust,signed_score
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00770,Pantothenate and CoA biosynthesis,5,15,5/578,1.2831603229527107,0.3459059088760251,0.7242404967091777,-0.14011719478328533
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00920,Sulfur metabolism,5,15,5/578,1.2831603229527107,0.3459059088760251,0.7242404967091777,-0.14011719478328533
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00053,Ascorbate and aldarate metabolism,2,5,2/578,1.5397923875432524,0.3878187969371983,0.7642311586703613,-0.11677525955164236
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00650,Butanoate metabolism,7,23,7/578,1.1715811644350835,0.3875020535087888,0.7642311586703613,-0.11677525955164236
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00860,Porphyrin metabolism,4,12,4/578,1.2831603229527107,0.38156524886472454,0.7642311586703613,-0.11677525955164236
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05152,Tuberculosis,2,5,2/578,1.5397923875432524,0.3878187969371983,0.7642311586703613,-0.11677525955164236
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00052,Galactose metabolism,4,13,4/578,1.184455682725579,0.4486020067376052,0.7995226534422255,-0.09716922656993403
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00380,Tryptophan metabolism,5,17,5/578,1.132200284958274,0.46362125453397934,0.7995226534422255,-0.09716922656993403
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00627,Aminobenzoate degradation,2,6,2/578,1.2831603229527107,0.4892601312109141,0.7995226534422255,-0.09716922656993403
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00630,Glyoxylate and dicarboxylate metabolism,9,32,9/578,1.0826665224913494,0.45711942319112225,0.7995226534422255,-0.09716922656993403
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00643,Styrene degradation,2,6,2/578,1.2831603229527107,0.4892601312109141,0.7995226534422255,-0.09716922656993403
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko04714,Thermogenesis,2,6,2/578,1.2831603229527107,0.4892601312109141,0.7995226534422255,-0.09716922656993403
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05012,Parkinson disease,2,6,2/578,1.2831603229527107,0.4892601312109141,0.7995226534422255,-0.09716922656993403
