locus_tag,gene_name,product,gene_category,log2fc,padj,expression_status,timepoint
EZ55_03279,,cupin domain-containing protein,Unknown,1.282749836,1.78e-10,significant_up,mid-exponential
EZ55_02484,mscS,mechanosensitive ion channel family protein,Cell wall and membrane,1.282573473,6.91e-16,significant_up,mid-exponential
EZ55_04251,benD,"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase",Lipid metabolism,-1.275578873,0.000242962,significant_down,mid-exponential
EZ55_03669,rpoH,RNA polymerase sigma factor RpoH,Transcription,1.275250789,1.07e-21,significant_up,mid-exponential
EZ55_03116,thrC,threonine synthase,Amino acid metabolism,1.272862659,9.87e-09,significant_up,mid-exponential
EZ55_02936,,hypothetical protein,Unknown,1.271649897,0.000245316,significant_up,mid-exponential
EZ55_03531,coaX,type III pantothenate kinase,Coenzyme metabolism,-1.27065855,7.41e-05,significant_down,mid-exponential
EZ55_00204,galT,UDP-glucose--hexose-1-phosphate uridylyltransferase,Energy production,1.265811875,5.73e-06,significant_up,mid-exponential
EZ55_01035,purL,phosphoribosylformylglycinamidine synthase,Nucleotide metabolism,-1.264551704,2.07e-08,significant_down,mid-exponential
EZ55_00360,rplD,50S ribosomal protein L4,Translation,-1.257290161,4.33e-05,significant_down,mid-exponential
EZ55_03765,,hypothetical protein,Unknown,1.254002729,5.96e-08,significant_up,mid-exponential
EZ55_00019,,DUF2188 domain-containing protein,Unknown,1.248784934,7.61e-09,significant_up,mid-exponential
EZ55_00300,czcB,efflux RND transporter periplasmic adaptor subunit,Cell wall and membrane,1.248247602,1.89e-08,significant_up,mid-exponential
EZ55_01891,ydjA,NAD(P)H nitroreductase,Energy production,1.246843544,6.47e-07,significant_up,mid-exponential
EZ55_00815,ttg2D,MlaC/ttg2D family ABC transporter substrate-binding protein,Secondary metabolites,1.246815056,3.68e-09,significant_up,mid-exponential
EZ55_03862,,efflux RND transporter permease subunit,Unknown,1.24633162,1.56e-23,significant_up,mid-exponential
EZ55_03120,frmA,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,Energy production,1.246122119,3.15e-06,significant_up,mid-exponential
EZ55_00361,rplW,50S ribosomal protein L23,Translation,-1.242636208,2.62e-05,significant_down,mid-exponential
EZ55_00866,,anti-sigma factor,Unknown,1.240902955,1.58e-16,significant_up,mid-exponential
EZ55_04259,dmpH,2-oxo-3-hexenedioate decarboxylase,Secondary metabolites,-1.239614391,8.1e-06,significant_down,mid-exponential
EZ55_02385,,hypothetical protein,Unknown,1.238287798,2.94e-07,significant_up,mid-exponential
EZ55_03797,,hypothetical protein,Unknown,1.237806362,2.26e-08,significant_up,mid-exponential
EZ55_02422,,glycosyltransferase family 2 protein,Unknown,1.232980661,0.000355332,significant_up,mid-exponential
EZ55_04260,xylH,2-hydroxymuconate tautomerase,Carbohydrate metabolism,-1.230742442,2.14e-05,significant_down,mid-exponential
EZ55_01189,cds1,PLP-dependent cysteine synthase family protein,Amino acid metabolism,-1.227248049,1.14e-05,significant_down,mid-exponential
EZ55_02408,edd,phosphogluconate dehydratase,Amino acid metabolism,1.226076223,3.57e-09,significant_up,mid-exponential
EZ55_00120,thiE,thiamine phosphate synthase,Coenzyme metabolism,1.225807201,2.39e-14,significant_up,mid-exponential
EZ55_02905,,DUF1223 domain-containing protein,Unknown,1.225165474,0.004152108,significant_up,mid-exponential
EZ55_02657,,LON peptidase substrate-binding domain-containing protein,Unknown,1.223216739,2.03e-07,significant_up,mid-exponential
EZ55_03544,,YkgJ family cysteine cluster protein,Unknown,-1.219664092,0.000835141,significant_down,mid-exponential
EZ55_03942,dsbD,protein-disulfide reductase DsbD,Energy production,1.218060075,7.54e-06,significant_up,mid-exponential
EZ55_00358,rpsJ,30S ribosomal protein S10,Translation,-1.217830147,0.000326474,significant_down,mid-exponential
EZ55_02665,xseB,exodeoxyribonuclease VII small subunit,Replication and repair,-1.215407886,4.87e-08,significant_down,mid-exponential
EZ55_00121,thiC,phosphomethylpyrimidine synthase ThiC,Coenzyme metabolism,1.21470035,8.23e-19,significant_up,mid-exponential
EZ55_00765,dsbC,bifunctional protein-disulfide isomerase/oxidoreductase DsbC,Cell wall and membrane,1.213746331,5.21e-07,significant_up,mid-exponential
EZ55_03097,,AzlD domain-containing protein,Unknown,1.211528746,0.000748243,significant_up,mid-exponential
EZ55_02221,purM,phosphoribosylformylglycinamidine cyclo-ligase,Nucleotide metabolism,-1.209332738,6.56e-09,significant_down,mid-exponential
EZ55_00829,,transglutaminase family protein,Amino acid metabolism,-1.204241399,8.77e-09,significant_down,mid-exponential
EZ55_00869,trhA,PAQR family membrane homeostasis protein TrhA,Unknown,1.203469281,1.62e-16,significant_up,mid-exponential
EZ55_03865,,CsbD family protein,Unknown,1.202780649,3.12e-05,significant_up,mid-exponential
EZ55_00698,,hypothetical protein,Unknown,1.200273589,8.52e-11,significant_up,mid-exponential
EZ55_01922,,hemerythrin domain-containing protein,Unknown,1.193632367,0.000523591,significant_up,mid-exponential
EZ55_00827,,alpha-E domain-containing protein,Unknown,-1.190389511,1.58e-12,significant_down,mid-exponential
EZ55_00319,aer2,methyl-accepting chemotaxis protein,Signal transduction,1.189496754,1.11e-09,significant_up,mid-exponential
EZ55_04140,,DNA replication terminus site-binding protein,Unknown,1.187690914,1.74e-10,significant_up,mid-exponential
EZ55_03339,,CoA-acylating methylmalonate-semialdehyde dehydrogenase,Energy production,-1.185621699,0.001154126,significant_down,mid-exponential
EZ55_01589,,(2Fe-2S)-binding protein,Energy production,1.184198454,1.33e-15,significant_up,mid-exponential
EZ55_03430,,hypothetical protein,Unknown,1.181340775,1.57e-07,significant_up,mid-exponential
EZ55_03996,,outer membrane beta-barrel protein,Cell wall and membrane,1.180858154,0.00026788,significant_up,mid-exponential
EZ55_01929,,DNA topoisomerase IB,Carbohydrate metabolism,1.180041238,2.47e-16,significant_up,mid-exponential
EZ55_00282,,hypothetical protein,Unknown,1.179405137,1.99e-15,significant_up,mid-exponential
EZ55_00060,,acyloxyacyl hydrolase,Cell wall and membrane,1.178251488,2.39e-05,significant_up,mid-exponential
EZ55_03212,,CopD family protein,Unknown,1.177199316,9.81e-07,significant_up,mid-exponential
EZ55_00161,yacH,DUF3300 domain-containing protein,Unknown,1.177194142,0.000715299,significant_up,mid-exponential
EZ55_04246,,hypothetical protein,Replication and repair,1.175998455,6.43e-05,significant_up,mid-exponential
EZ55_04141,,DNA-binding protein,Cell cycle and division,1.175908182,1.5e-11,significant_up,mid-exponential
EZ55_04023,xylA,xylose isomerase,Carbohydrate metabolism,-1.175899561,3.78e-06,significant_down,mid-exponential
EZ55_03365,,VTT domain-containing protein,Lipid metabolism,1.171696601,0.000528903,significant_up,mid-exponential
EZ55_03041,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,Cell wall and membrane,1.169986491,5.26e-12,significant_up,mid-exponential
EZ55_04085,,DUF1285 domain-containing protein,Unknown,1.167182219,8.45e-16,significant_up,mid-exponential
EZ55_03051,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,Cell wall and membrane,1.16536492,4.3e-08,significant_up,mid-exponential
EZ55_00867,,hypothetical protein,Unknown,1.162008878,4.49e-16,significant_up,mid-exponential
EZ55_03494,,MAPEG family protein,Unknown,1.159855847,3.2e-09,significant_up,mid-exponential
EZ55_02160,ovoA,5-histidylcysteine sulfoxide synthase,Coenzyme metabolism,1.154497401,3.21e-08,significant_up,mid-exponential
EZ55_04194,,hypothetical protein,Unknown,1.154475462,1.79e-19,significant_up,mid-exponential
EZ55_00326,,TonB-dependent receptor,Inorganic ion transport,1.151813653,7.39e-12,significant_up,mid-exponential
EZ55_00363,rpsS,30S ribosomal protein S19,Translation,-1.145896947,0.000181929,significant_down,mid-exponential
EZ55_02318,qor,NADPH:quinone oxidoreductase family protein,Energy production,1.14426087,4.03e-08,significant_up,mid-exponential
EZ55_03811,rpsF,30S ribosomal protein S6,Translation,-1.143009083,9.45e-09,significant_down,mid-exponential
EZ55_02299,ybgK,5-oxoprolinase subunit C family protein,Amino acid metabolism,1.142699601,2.5e-08,significant_up,mid-exponential
EZ55_03747,,MFS transporter,Carbohydrate metabolism,1.141735632,0.003894558,significant_up,mid-exponential
EZ55_02772,iscS,IscS subfamily cysteine desulfurase,Amino acid metabolism,1.141418613,9.67e-14,significant_up,mid-exponential
EZ55_02930,srtA,class GN sortase,Cell wall and membrane,1.140489405,0.001399912,significant_up,mid-exponential
EZ55_03521,ankB,ankyrin repeat domain-containing protein,Unknown,1.139809378,2.51e-06,significant_up,mid-exponential
EZ55_01783,,Fur family transcriptional regulator,Inorganic ion transport,1.1393658,7.36e-07,significant_up,mid-exponential
EZ55_03418,,thiol-disulfide oxidoreductase DCC family protein,Unknown,1.139365344,1.83e-06,significant_up,mid-exponential
EZ55_02947,,hypothetical protein,Unknown,1.137058681,4.15e-06,significant_up,mid-exponential
EZ55_03875,,hypothetical protein,Unknown,1.136652828,4.58e-08,significant_up,mid-exponential
EZ55_03007,,HDOD domain-containing protein,Signal transduction,1.133758491,6.17e-18,significant_up,mid-exponential
EZ55_00212,,TonB-dependent receptor,Inorganic ion transport,1.132092289,2.45e-07,significant_up,mid-exponential
EZ55_02980,nagA,N-acetylglucosamine-6-phosphate deacetylase,Carbohydrate metabolism,1.131559046,4.81e-06,significant_up,mid-exponential
EZ55_02514,cvpA,CvpA family protein,Unknown,-1.130729207,0.000118822,significant_down,mid-exponential
EZ55_03692,pdsR,proteobacterial dedicated sortase system response regulator,Signal transduction,1.124918511,2.32e-10,significant_up,mid-exponential
EZ55_02615,lepB,signal peptidase I,Intracellular trafficking,1.123197428,5.51e-15,significant_up,mid-exponential
EZ55_02877,betA,choline dehydrogenase,Amino acid metabolism,1.12246149,2.62e-06,significant_up,mid-exponential
EZ55_02778,suhB,inositol-1-monophosphatase,Carbohydrate metabolism,-1.11938474,9.5e-07,significant_down,mid-exponential
EZ55_00179,lptM,LPS translocon maturation chaperone LptM,Cell motility,-1.118572524,1.35e-09,significant_down,mid-exponential
EZ55_01925,,DUF2878 domain-containing protein,Unknown,1.116623572,6.94e-10,significant_up,mid-exponential
EZ55_01331,nudB,dihydroneopterin triphosphate diphosphatase,Replication and repair,-1.113243021,2.28e-11,significant_down,mid-exponential
EZ55_03520,,hypothetical protein,Unknown,1.112991437,0.00115057,significant_up,mid-exponential
EZ55_03011,,LysR family transcriptional regulator,Transcription,1.107700007,8.04e-10,significant_up,mid-exponential
EZ55_00209,,alpha/beta hydrolase family protein,Cell wall and membrane,1.105575955,3.33e-09,significant_up,mid-exponential
EZ55_03729,rplK,50S ribosomal protein L11,Translation,-1.102623689,5.95e-06,significant_down,mid-exponential
EZ55_01555,moxR,AAA family ATPase,Unknown,-1.101402166,3.51e-12,significant_down,mid-exponential
EZ55_04309,,hypothetical protein,Unknown,1.100519471,2.65e-09,significant_up,mid-exponential
EZ55_02410,zwf,glucose-6-phosphate dehydrogenase,Carbohydrate metabolism,1.100382691,2.13e-14,significant_up,mid-exponential
EZ55_00797,,spondin domain-containing protein,Unknown,1.100026002,0.000991721,significant_up,mid-exponential
EZ55_03851,irp,TonB-dependent receptor,Inorganic ion transport,1.099380644,1.75e-07,significant_up,mid-exponential
EZ55_02308,,DUF2189 domain-containing protein,Unknown,1.098933577,7.84e-08,significant_up,mid-exponential
EZ55_01345,nadA,quinolinate synthase NadA,Coenzyme metabolism,-1.098830529,9.5e-12,significant_down,mid-exponential
EZ55_00526,,hypothetical protein,Unknown,1.097157335,1.88e-15,significant_up,mid-exponential
EZ55_02058,,LysR family transcriptional regulator,Transcription,1.096988316,2.05e-14,significant_up,mid-exponential
EZ55_00659,,HAD family hydrolase,Unknown,1.09650242,4.11e-16,significant_up,mid-exponential
EZ55_02314,yqaA,YqaA family protein,Unknown,1.096443804,6.71e-06,significant_up,mid-exponential
EZ55_00362,rplB,50S ribosomal protein L2,Translation,-1.096024978,0.000218935,significant_down,mid-exponential
EZ55_02773,iscR,Fe-S cluster assembly transcriptional regulator IscR,Transcription,1.096009462,2.91e-12,significant_up,mid-exponential
EZ55_00600,nlpD,peptidoglycan DD-metalloendopeptidase family protein,Cell cycle and division,1.095620266,2.25e-07,significant_up,mid-exponential
EZ55_00023,,hypothetical protein,Unknown,1.094238733,1.14e-13,significant_up,mid-exponential
EZ55_00893,hutG,formimidoylglutamase,Amino acid metabolism,1.092066364,5.24e-10,significant_up,mid-exponential
EZ55_00316,cheA,chemotaxis protein CheA,Cell motility,1.091146511,4.01e-06,significant_up,mid-exponential
EZ55_00214,glpR,DeoR/GlpR family transcriptional regulator,Transcription,1.089047316,1.17e-11,significant_up,mid-exponential
EZ55_03244,,Ig-like domain-containing protein,Cell wall and membrane,-1.089022126,0.000514636,significant_down,mid-exponential
EZ55_02906,,radical SAM protein,Lipid metabolism,1.088959263,0.005841513,significant_up,mid-exponential
EZ55_02409,pgl,6-phosphogluconolactonase,Carbohydrate metabolism,1.088625159,1.13e-09,significant_up,mid-exponential
EZ55_04342,,MauE/DoxX family redox-associated membrane protein,Post-translational modification,1.088195535,5.92e-05,significant_up,mid-exponential
EZ55_00160,dcsG,ATP-grasp domain-containing protein,Coenzyme metabolism,1.087493887,1.25e-08,significant_up,mid-exponential
EZ55_00117,thiG,thiazole synthase,Coenzyme metabolism,1.087313628,1.52e-08,significant_up,mid-exponential
EZ55_01826,,TonB-dependent receptor,Inorganic ion transport,1.086779445,0.001912811,significant_up,mid-exponential
EZ55_04261,,hypothetical protein,Unknown,-1.083931977,1.3e-05,significant_down,mid-exponential
EZ55_02789,VP1064,potassium channel protein,Inorganic ion transport,1.082355857,2.68e-09,significant_up,mid-exponential
EZ55_03132,,response regulator transcription factor,Signal transduction,1.081618237,3.57e-07,significant_up,mid-exponential
EZ55_01439,folX,dihydroneopterin triphosphate 2^-epimerase,Coenzyme metabolism,1.080806844,4.55e-12,significant_up,mid-exponential
EZ55_04133,,ParB/RepB/Spo0J family partition protein,Transcription,1.079932587,4.11e-08,significant_up,mid-exponential
EZ55_01463,bamE,outer membrane protein assembly factor BamE,Translation,1.079325993,2.89e-07,significant_up,mid-exponential
EZ55_00391,amtB,ammonium transporter,Inorganic ion transport,1.077403506,0.000850098,significant_up,mid-exponential
EZ55_03117,thrB,homoserine kinase,Amino acid metabolism,1.076317876,6.5e-07,significant_up,mid-exponential
EZ55_01831,ynjD,ATP-binding cassette domain-containing protein,Unknown,1.074738824,7.07e-06,significant_up,mid-exponential
EZ55_01893,ansA,asparaginase,Amino acid metabolism,-1.074633423,3.61e-09,significant_down,mid-exponential
EZ55_02895,blaI,BlaI/MecI/CopY family transcriptional regulator,Transcription,1.072161071,7.97e-10,significant_up,mid-exponential
EZ55_01029,,GGDEF domain-containing protein,Signal transduction,1.065541994,3.5e-17,significant_up,mid-exponential
EZ55_03000,,ATP-binding protein,Signal transduction,-1.063932128,5.79e-13,significant_down,mid-exponential
EZ55_01875,hflD,high frequency lysogenization protein HflD,Unknown,-1.058207941,1e-10,significant_down,mid-exponential
EZ55_03941,cutA,divalent-cation tolerance protein CutA,Inorganic ion transport,1.056964986,3.47e-05,significant_up,mid-exponential
EZ55_00432,,hypothetical protein,Unknown,1.056641873,4.48e-06,significant_up,mid-exponential
EZ55_04223,tnpR,recombinase family protein,Replication and repair,1.054390115,5.32e-17,significant_up,mid-exponential
EZ55_01792,,TonB-dependent receptor plug domain-containing protein,Inorganic ion transport,1.054313772,1.3e-05,significant_up,mid-exponential
EZ55_03056,mraZ,division/cell wall cluster transcriptional repressor MraZ,Transcription,1.053241902,3.25e-12,significant_up,mid-exponential
EZ55_03340,mmsB,3-hydroxyisobutyrate dehydrogenase,Lipid metabolism,-1.050072262,0.002610973,significant_down,mid-exponential
EZ55_02666,ispA,farnesyl diphosphate synthase,Coenzyme metabolism,-1.050025436,1.45e-11,significant_down,mid-exponential
EZ55_02297,,IS4 family transposase,Replication and repair,-1.049952611,3.64e-19,significant_down,mid-exponential
EZ55_03849,yybH,YybH family protein,Unknown,-1.046569848,5.88e-05,significant_down,mid-exponential
EZ55_02752,guaB,IMP dehydrogenase,Nucleotide metabolism,-1.042131033,4.21e-06,significant_down,mid-exponential
EZ55_02059,trpS,tryptophan--tRNA ligase,Translation,1.041127154,2.29e-09,significant_up,mid-exponential
EZ55_03095,osmC,OsmC family protein,Post-translational modification,1.040811718,0.00175768,significant_up,mid-exponential
EZ55_02972,,DNA polymerase,Replication and repair,1.038118539,1.01e-12,significant_up,mid-exponential
EZ55_03727,rplJ,50S ribosomal protein L10,Translation,-1.037568468,3.28e-06,significant_down,mid-exponential
EZ55_02918,,SDR family oxidoreductase,Unknown,1.036452219,0.001018695,significant_up,mid-exponential
EZ55_04132,,ParA family protein,Cell cycle and division,1.034566909,8.67e-07,significant_up,mid-exponential
EZ55_01588,,xanthine dehydrogenase family protein molybdopterin-binding subunit,Energy production,1.034172308,1.81e-11,significant_up,mid-exponential
EZ55_02377,,exopolysaccharide biosynthesis protein,Unknown,1.034032026,5.24e-08,significant_up,mid-exponential
EZ55_04336,,cation transporter,Inorganic ion transport,1.032374694,1.07e-15,significant_up,mid-exponential
EZ55_04318,,tyrosine-type recombinase/integrase,Replication and repair,1.031822013,1.47e-15,significant_up,mid-exponential
EZ55_02298,dat,D-amino acid aminotransferase,Amino acid metabolism,1.030363455,7.55e-06,significant_up,mid-exponential
EZ55_03508,,DcaP family trimeric outer membrane transporter,Cell wall and membrane,-1.029330785,0.000540651,significant_down,mid-exponential
EZ55_03768,,glutathione S-transferase family protein,Post-translational modification,-1.028879961,5.35e-06,significant_down,mid-exponential
EZ55_02470,,DUF262 domain-containing protein,Unknown,1.028315782,1.97e-08,significant_up,mid-exponential
EZ55_03302,yigM,DMT family transporter,Amino acid metabolism,-1.027112006,1.25e-07,significant_down,mid-exponential
EZ55_01359,,cytochrome b,Energy production,1.026290859,6.88e-17,significant_up,mid-exponential
EZ55_03208,azu,azurin,Energy production,1.024476929,1.02e-06,significant_up,mid-exponential
EZ55_03052,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",Cell wall and membrane,1.019888633,9.18e-09,significant_up,mid-exponential
EZ55_01727,,beta strand repeat-containing protein,Unknown,-1.018825919,2.5e-09,significant_down,mid-exponential
EZ55_03943,,M23 family metallopeptidase,Cell wall and membrane,1.01769856,0.000349542,significant_up,mid-exponential
EZ55_01531,rplY,50S ribosomal protein L25/general stress protein Ctc,Translation,-1.013196311,2.17e-05,significant_down,mid-exponential
EZ55_04065,ilvC,ketol-acid reductoisomerase,Amino acid metabolism,1.011293829,0.001802113,significant_up,mid-exponential
EZ55_01292,,YncE family protein,Unknown,-1.011067079,7.71e-05,significant_down,mid-exponential
EZ55_01450,trpG,aminodeoxychorismate/anthranilate synthase component II,Amino acid metabolism,1.010687621,2.04e-07,significant_up,mid-exponential
EZ55_03853,,MerC domain-containing protein,Unknown,1.010604942,0.000110896,significant_up,mid-exponential
EZ55_03753,aguA,agmatine deiminase family protein,Amino acid metabolism,-1.010506736,3.68e-07,significant_down,mid-exponential
EZ55_03736,dlpA,RraA family protein,Coenzyme metabolism,-1.008680878,0.002679614,significant_down,mid-exponential
EZ55_03902,,arginine decarboxylase,Unknown,-1.008369368,1.91e-08,significant_down,mid-exponential
EZ55_00909,,M36 family metallopeptidase,Amino acid metabolism,1.006510305,0.006580461,significant_up,mid-exponential
EZ55_03988,gabD1,NAD-dependent succinate-semialdehyde dehydrogenase,Energy production,1.003337129,0.001826356,significant_up,mid-exponential
EZ55_00832,,hypothetical protein,Unknown,-1.001493176,2.73e-09,significant_down,mid-exponential
