locus_tag,log2fc,expression_status,timepoint
ACZ81_04495,-3.2163298829218783,significant_down,day 60
ACZ81_05120,-3.2156134838681534,significant_down,day 60
ACZ81_07885,-3.213118300598395,significant_down,day 31
ACZ81_11260,-3.211841572688712,significant_down,day 31
ACZ81_01475,-3.2083547407911457,significant_down,day 31
ACZ81_07890,-3.2048323369172347,significant_down,day 60
ACZ81_13605,-3.198934854633426,significant_down,day 89
ACZ81_05350,-3.191842927697484,significant_down,day 31
ACZ81_10135,-3.1892904093259635,significant_down,day 60
ACZ81_04980,-3.1891328069866405,significant_down,day 18
ACZ81_06565,-3.18904516900716,significant_down,day 31
ACZ81_13200,3.185710010629214,not_significant,days 60+89
ACZ81_15725,3.183621391379949,significant_up,day 31
ACZ81_06180,-3.1827183456529635,significant_down,days 60+89
ACZ81_13600,-3.18271453588401,significant_down,days 60+89
ACZ81_09105,-3.18197352022771,significant_down,day 89
ACZ81_01455,-3.177660002420218,significant_down,day 60
ACZ81_01910,-3.176701692444426,significant_down,day 60
ACZ81_05080,-3.1737909612771404,significant_down,day 31
ACZ81_03210,-3.1723016883082047,significant_down,day 89
ACZ81_05725,3.1720730487163262,significant_up,days 60+89
ACZ81_18695,-3.1716202370992383,significant_down,days 60+89
ACZ81_09435,-3.1647733077549414,significant_down,day 60
ACZ81_03210,-3.163311023667003,significant_down,days 60+89
ACZ81_04175,-3.1618392241473487,significant_down,day 18
ACZ81_17685,3.158870471425681,significant_up,day 60
ACZ81_03210,-3.1543738712574343,significant_down,day 60
ACZ81_02010,-3.152463262184807,not_significant,day 60
ACZ81_13200,3.150573021792017,not_significant,day 18
ACZ81_05355,-3.142908731197198,significant_down,day 31
ACZ81_01465,-3.1404797592152778,significant_down,day 31
ACZ81_10355,-3.1272071800957013,significant_down,day 60
ACZ81_07900,-3.1223796236081887,significant_down,day 89
ACZ81_10135,-3.1192399834146545,significant_down,days 60+89
ACZ81_06565,-3.114226683207799,significant_down,day 89
ACZ81_16850,3.109434420356761,significant_up,day 18
ACZ81_10140,-3.108862769201871,significant_down,days 60+89
ACZ81_01665,3.107812876091145,significant_up,day 31
ACZ81_01765,3.106685941578553,significant_up,day 60
ACZ81_12345,-3.09848580872036,significant_down,day 60
ACZ81_03105,3.0943876426707533,significant_up,day 31
ACZ81_02020,-3.0922644179541527,significant_down,days 60+89
ACZ81_05350,-3.0907066943089623,significant_down,day 89
ACZ81_08785,3.088981066607224,significant_up,day 31
ACZ81_01470,-3.0842554579400168,significant_down,day 60
ACZ81_06180,-3.083384693965339,significant_down,day 60
ACZ81_10145,-3.082929777484216,significant_down,day 60
ACZ81_03105,3.080654848010942,significant_up,day 60
ACZ81_18990,3.08042887021025,not_significant,day 18
ACZ81_14895,-3.0794340336797235,significant_down,day 60
ACZ81_16125,-3.0721901600971937,significant_down,day 31
ACZ81_10350,-3.060482443663377,significant_down,day 60
ACZ81_05085,-3.056705302125998,significant_down,day 31
ACZ81_06565,-3.056364609389248,significant_down,days 60+89
ACZ81_10135,-3.052657688875609,significant_down,day 89
ACZ81_12355,-3.051478773193369,significant_down,day 89
ACZ81_10135,-3.050420582662444,significant_down,day 18
ACZ81_13200,3.0500430433773253,not_significant,day 60
ACZ81_00135,-3.049579110376451,significant_down,day 89
ACZ81_RS20790,3.047282493630135,significant_up,day 18
ACZ81_07870,-3.045663615258144,significant_down,day 18
ACZ81_10140,-3.044566526678982,significant_down,day 18
ACZ81_16155,3.043156412732858,not_significant,day 18
ACZ81_19165,-3.038274312314396,significant_down,days 60+89
ACZ81_06650,-3.0380782205485457,significant_down,days 60+89
ACZ81_RS20790,3.0373741294050336,significant_up,day 31
ACZ81_19615,3.037041792170489,significant_up,day 18
ACZ81_12350,-3.032971739052812,significant_down,day 89
ACZ81_16315,3.032770427115148,significant_up,day 31
ACZ81_03105,3.028403438450714,significant_up,days 60+89
ACZ81_RS21535,-3.0278346903464906,significant_down,days 60+89
ACZ81_10145,-3.0261544874329447,significant_down,day 18
ACZ81_04460,3.022974268578866,significant_up,day 60
ACZ81_09825,3.020667804903164,significant_up,day 31
ACZ81_01915,-3.018948125495124,significant_down,days 60+89
ACZ81_14135,-3.008108375647619,significant_down,day 89
ACZ81_RS21305,-3.0080238485380777,significant_down,day 89
ACZ81_14895,-3.0032329451619555,significant_down,days 60+89
ACZ81_03385,3.002868278487071,significant_up,day 89
ACZ81_06565,-2.999631957413254,significant_down,day 60
ACZ81_10135,-2.9985649070206257,significant_down,day 31
ACZ81_04275,-2.997558493915277,significant_down,days 60+89
ACZ81_05935,-2.996554607622412,significant_down,day 60
ACZ81_14655,2.996516749809452,significant_up,day 60
ACZ81_08865,-2.9959939440070884,significant_down,days 60+89
ACZ81_17630,2.991668820146277,not_significant,day 18
ACZ81_09625,2.989677406647812,significant_up,day 60
ACZ81_10030,-2.9883720065970247,significant_down,day 31
ACZ81_19015,-2.985144463512471,significant_down,day 18
ACZ81_17405,-2.982401065587535,significant_down,days 60+89
ACZ81_03105,2.978016541326112,significant_up,day 89
ACZ81_01465,-2.975786852840898,significant_down,days 60+89
ACZ81_05355,-2.9754163121106174,significant_down,days 60+89
ACZ81_00740,-2.971741800890652,significant_down,day 31
ACZ81_08510,-2.966047826033793,significant_down,day 60
ACZ81_04965,-2.9652716517133912,significant_down,day 89
ACZ81_05100,-2.965169802644005,significant_down,day 60
ACZ81_19385,-2.963803133176219,significant_down,days 60+89
ACZ81_00200,-2.9583003618795574,significant_down,day 31
ACZ81_13600,-2.9569728403590485,significant_down,day 60
ACZ81_09630,2.9546003328442385,significant_up,days 60+89
ACZ81_01830,2.9475421565390176,significant_up,day 89
ACZ81_05075,-2.9310071330921867,significant_down,days 60+89
ACZ81_14895,-2.9309887416970866,significant_down,day 89
ACZ81_04210,2.9303548968593027,significant_up,day 18
ACZ81_16230,-2.93017756698914,significant_down,day 31
ACZ81_07885,-2.9301490733347726,significant_down,day 89
ACZ81_11105,-2.9271902621211945,significant_down,day 31
ACZ81_07885,-2.9244698317623765,significant_down,days 60+89
ACZ81_15250,2.919781818343662,significant_up,day 18
ACZ81_07885,-2.918882930014941,significant_down,day 60
