locus_tag,strain,route,product,value,og_group_id,og_level,og_product
MIT1002_03183,Alteromonas macleodii MIT1002,vesicle,glutamate--ammonia ligase,0.9,eggnog:464KQ@72275,Alteromonadaceae,glutamate--ammonia ligase
MIT1002_04115,Alteromonas macleodii MIT1002,vesicle,F0F1 ATP synthase subunit alpha,0.9,eggnog:464BU@72275,Alteromonadaceae,F0F1 ATP synthase subunit alpha
MIT1002_01004,Alteromonas macleodii MIT1002,vesicle,30S ribosomal protein S2,0.8,eggnog:46443@72275,Alteromonadaceae,30S ribosomal protein S2
MIT1002_01947,Alteromonas macleodii MIT1002,vesicle,succinate dehydrogenase iron-sulfur subunit,0.8,eggnog:4658G@72275,Alteromonadaceae,succinate dehydrogenase iron-sulfur subunit
MIT1002_00670,Alteromonas macleodii MIT1002,vesicle,outer membrane channel protein TolC,0.7,eggnog:46448@72275,Alteromonadaceae,outer membrane channel protein TolC
MIT1002_03002,Alteromonas macleodii MIT1002,vesicle,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,0.7,eggnog:464DV@72275,Alteromonadaceae,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase
MIT1002_03586,Alteromonas macleodii MIT1002,vesicle,30S ribosomal protein S4,0.7,eggnog:464TW@72275,Alteromonadaceae,30S ribosomal protein S4
MIT1002_03735,Alteromonas macleodii MIT1002,vesicle,50S ribosomal protein L10,0.7,eggnog:469TE@72275,Alteromonadaceae,50S ribosomal protein L10
MIT1002_01951,Alteromonas macleodii MIT1002,vesicle,succinate--CoA ligase subunit alpha,0.6,eggnog:4652M@72275,Alteromonadaceae,succinate--CoA ligase subunit alpha
MIT1002_03001,Alteromonas macleodii MIT1002,vesicle,dihydrolipoyl dehydrogenase,0.6,eggnog:463YH@72275,Alteromonadaceae,dihydrolipoyl dehydrogenase
MIT1002_03492,Alteromonas macleodii MIT1002,vesicle,malate dehydrogenase,0.6,eggnog:463ZA@72275,Alteromonadaceae,malate dehydrogenase
