og_group_id,og_product,substrate,best_tier,n_strains,strains,n_genes,captured_in_extruded
eggnog:4645G@72275,acyl-CoA thioesterase,ester (other),"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464EY@72275,alkaline phosphatase D family protein,ester (other),A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464KU@72275,endonuclease/exonuclease/phosphatase family protein,ester (other),A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464UC@72275,endonuclease/exonuclease/phosphatase family protein,ester (other),"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:465MK@72275,S1/P1 nuclease,ester (other),A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46684@72275,bifunctional metallophosphatase/5^-nucleotidase,ester (other),A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,9,False
eggnog:467ME@72275,acyl-CoA thioesterase,ester (other),"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:467PD@72275,acyl-CoA thioesterase,ester (other),"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:467DG@72275,SGNH/GDSL hydrolase family protein,ester (other),"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:467EI@72275,acyl-CoA thioesterase,ester (other),"B: degradative, export uncertain",6,AD45;ATCC27126;BGP6;EZ55;HOT1A3;MIT1002,6,False
eggnog:465X6@72275,MBL fold metallo-hydrolase,ester (other),"B: degradative, export uncertain",4,BGP6;BS11;EZ55;HOT1A3,4,False
eggnog:466XF@72275,purple acid phosphatase family protein,ester (other),A: degradative + exported,3,AD45;EZ55;HOT1A3,3,False
eggnog:1N4JP@1224,HNH endonuclease,ester (other),"B: degradative, export uncertain",2,AD45;MIT1002,2,False
eggnog:1RAEQ@1224,acyl-CoA thioesterase,ester (other),"B: degradative, export uncertain",2,ATCC27126;BGP6,2,False
eggnog:1MW3G@1224,GSCFA domain-containing protein,ester (other),"B: degradative, export uncertain",1,EZ55,1,False
eggnog:1NE62@1224,HNH endonuclease signature motif containing protein,ester (other),"B: degradative, export uncertain",1,MIT1002,1,False
eggnog:1QTZN@1224,endonuclease/exonuclease/phosphatase family protein,ester (other),"B: degradative, export uncertain",1,MIT1002,1,False
eggnog:4653B@72275,ribonuclease J,ester (other),"B: degradative, export uncertain",1,HOT1A3,1,False
eggnog:4661P@72275,tyrosine-type recombinase/integrase,ester (other),"B: degradative, export uncertain",1,AD45,1,False
eggnog:4675W@72275,amidohydrolase family protein,ester (other),"B: degradative, export uncertain",1,ATCC27126,1,False
eggnog:1R0KJ@1224,alpha/beta hydrolase-fold protein,lipid/ester,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:1RB1X@1224,alpha/beta hydrolase-fold protein,lipid/ester,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:463Y8@72275,VTT domain-containing protein,lipid/ester,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,8,False
eggnog:463Z4@72275,rhamnogalacturonan acetylesterase,lipid/ester,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4641H@72275,patatin-like phospholipase family protein,lipid/ester,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464FA@72275,VolA/Pla-1 family phospholipase,lipid/ester,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464M0@72275,patatin-like phospholipase family protein,lipid/ester,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,13,False
eggnog:464M1@72275,alpha/beta hydrolase,lipid/ester,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464XJ@72275,6-phosphogluconolactonase,lipid/ester,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464YV@72275,patatin-like phospholipase family protein,lipid/ester,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,8,False
eggnog:465IR@72275,alpha/beta fold hydrolase,lipid/ester,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:466ZZ@72275,arylesterase,lipid/ester,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4672V@72275,phospholipase A,lipid/ester,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:4678H@72275,alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB,lipid/ester,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:467IU@72275,D-aminoacyl-tRNA deacylase,lipid/ester,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46A81@72275,esterase/lipase family protein,lipid/ester,A: degradative + exported,7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:46D68@72275,response regulator,lipid/ester,"B: degradative, export uncertain",7,AD45;ATCC27126;BGP6;BS11;EZ55;HOT1A3;MIT1002,7,False
eggnog:464WQ@72275,dienelactone hydrolase family protein,lipid/ester,A: degradative + exported,4,AD45;BGP6;EZ55;HOT1A3,4,False
